Country,Branch,Product,Number of Customers,Revenue,Marketing Spend,Operational Cost,Regulatory Compliance Cost,Net Interest Margin %,Non Interest Income,Loan Quality Score,Credit Risk Score,GDP Billion USD,Inflation %,Interest Rate %,Total Cost,Profit,Profit Margin
UAE,Branch_4,Auto Loan,"1,790.00","3,315,758.69","778,342.38","1,977,733.13","146,001.61",2.86,"316,509.57",603.30,7.66,"1,085.75",3.16,3.04,"2,902,077.12","730,191.14",22%
Qatar,Branch_6,SME Loan,"9,636.00","351,177.73","737,707.84","323,718.98","458,423.43",2.52,"376,120.82",386.32,2.74,267.89,5.23,2.28,"1,519,850.25","-792,551.70",-226%
Bahrain,Branch_4,Credit Card,"3,403.00","7,526,487.78","967,948.26","1,209,364.01","95,790.35",4.30,"477,306.98",561.13,5.75,"1,142.40",1.04,1.10,"2,273,102.62","5,730,692.14",76%
Saudi Arabia,Branch_1,Wealth Management,"3,213.00","2,226,061.29","119,308.68","1,321,209.48","90,919.44",4.13,"80,602.80",753.09,7.31,"1,371.46",3.40,4.89,"1,531,437.60","775,226.49",35%
Bahrain,Branch_10,Credit Card,"9,174.00","8,361,290.06","582,821.24","849,526.73","242,409.66",4.19,"450,778.57",580.20,5.94,"1,409.29",3.17,1.31,"1,674,757.63","7,137,311.00",85%
Bahrain,Branch_3,Auto Loan,"7,950.00","4,260,873.57","693,471.76","960,574.66","50,637.70",2.35,"241,579.62",409.86,1.14,"1,090.75",4.45,1.63,"1,704,684.12","2,797,769.07",66%
Bahrain,Branch_9,Auto Loan,"6,516.00","5,813,066.68","890,647.93","1,784,001.99","447,839.96",5.06,"118,643.36",527.37,4.27,"1,222.56",2.19,3.94,"3,122,489.88","2,809,220.16",48%
Saudi Arabia,Branch_7,Wealth Management,"1,604.00","8,742,192.43","874,739.08","1,297,642.97","54,573.82",3.45,"481,411.49",715.14,4.97,293.00,1.87,2.08,"2,226,955.87","6,996,648.05",80%
Bahrain,Branch_2,Personal Loan,"9,024.00","8,649,867.71","978,109.79","1,004,061.90","310,195.95",3.63,"119,976.21",374.25,4.08,409.63,4.25,3.13,"2,292,367.64","6,477,476.28",75%
Qatar,Branch_8,Wealth Management,"4,024.00","3,778,043.79","514,518.06","274,132.13","173,192.02",5.99,"366,988.65",619.25,5.92,541.22,4.21,3.93,"961,842.21","3,183,190.23",84%
UAE,Branch_6,Home Loan,"8,715.00","2,168,000.04","831,607.06","34,528.50","403,115.08",2.77,"392,658.50",830.92,5.62,890.74,4.76,3.00,"1,269,250.64","1,291,407.90",60%
Saudi Arabia,Branch_9,Auto Loan,"9,883.00","7,773,946.17","430,145.30","267,437.86","296,956.32",3.27,"215,829.01",509.17,2.69,702.12,2.23,2.71,"994,539.48","6,995,235.70",90%
Qatar,Branch_8,Auto Loan,"4,585.00","4,387,494.02","425,202.31","1,913,245.44","197,211.54",4.54,"345,302.44",324.00,7.77,"1,054.28",1.08,0.73,"2,535,659.29","2,197,137.17",50%
Qatar,Branch_7,Credit Card,"8,200.00","2,001,215.74","257,081.62","1,532,891.83","492,017.13",5.46,"286,666.06",648.21,2.45,779.40,5.39,2.69,"2,281,990.58","5,891.22",0%
Kuwait,Branch_9,Home Loan,"8,784.00","9,053,810.89","819,146.10","1,934,890.33","37,784.34",2.07,"96,824.34",325.91,5.13,"1,207.53",2.03,2.55,"2,791,820.77","6,358,814.46",70%
Qatar,Branch_2,Personal Loan,291.00,"2,061,231.52","985,886.03","90,703.25","291,004.22",4.81,"380,184.05",405.38,7.81,"1,127.66",3.09,4.46,"1,367,593.50","1,073,822.07",52%
Bahrain,Branch_10,Auto Loan,"8,790.00","355,490.97","260,060.02","1,366,836.40","494,836.31",5.63,"464,080.06",326.62,7.28,"1,171.47",3.34,2.51,"2,121,732.73","-1,302,161.70",-366%
UAE,Branch_7,Credit Card,"5,017.00","300,771.74","60,850.93","107,701.18","347,021.56",3.40,"244,830.39",393.86,4.89,"1,277.50",1.94,3.33,"515,573.67","30,028.46",10%
Bahrain,Branch_7,SME Loan,"5,931.00","6,260,922.03","816,464.73","1,568,471.81","371,185.97",2.79,"497,160.82",770.21,8.10,"1,284.49",3.60,3.98,"2,756,122.51","4,001,960.34",64%
Bahrain,Branch_7,Wealth Management,"9,548.00","6,650,583.10","622,128.90","774,281.34","20,885.12",4.55,"214,554.69",704.17,7.42,"1,213.42",5.57,2.60,"1,417,295.36","5,447,842.43",82%
Qatar,Branch_8,SME Loan,"4,422.00","3,179,312.88","959,900.31","209,615.41","15,574.77",2.61,"240,388.55",488.02,4.46,285.70,2.36,1.67,"1,185,090.49","2,234,610.94",70%
Saudi Arabia,Branch_6,Home Loan,"7,099.00","3,268,108.79","255,978.02","1,144,732.35","22,874.51",3.23,"337,274.86",793.43,9.06,"1,010.16",3.60,4.52,"1,423,584.88","2,181,798.77",67%
Saudi Arabia,Branch_7,Personal Loan,"9,108.00","3,460,989.76","75,672.52","574,637.99","495,903.33",5.54,"93,699.30",665.85,2.28,225.73,2.54,4.53,"1,146,213.84","2,408,475.22",70%
Oman,Branch_8,Wealth Management,"7,382.00","6,833,569.61","494,980.05","1,325,956.40","489,862.28",4.16,"451,071.06",546.26,4.23,"1,166.89",5.90,4.55,"2,310,798.73","4,973,841.94",73%
UAE,Branch_9,Wealth Management,"9,765.00","675,524.53","90,038.69","1,323,186.02","170,581.92",1.93,"400,835.13",337.58,7.28,279.38,2.10,1.73,"1,583,806.63","-507,446.97",-75%
Kuwait,Branch_9,Credit Card,"9,378.00","9,298,251.89","265,481.05","1,415,914.80","149,036.00",2.98,"436,336.23",701.90,8.86,"1,478.18",1.55,1.92,"1,830,431.85","7,904,156.27",85%
Bahrain,Branch_2,SME Loan,"1,974.00","2,302,958.34","130,347.97","1,985,080.86","77,249.58",4.32,"305,169.73",506.54,3.90,998.30,1.71,4.63,"2,192,678.41","415,449.66",18%
Saudi Arabia,Branch_5,SME Loan,"9,162.00","9,996,764.73","228,011.52","785,661.47","167,924.45",3.67,"441,990.23",466.56,6.05,436.60,2.84,1.07,"1,181,597.44","9,257,157.52",93%
Qatar,Branch_9,Auto Loan,"4,863.00","1,798,074.67","110,613.93","941,324.64","188,224.22",4.47,"340,306.27",458.55,1.11,808.76,3.76,3.45,"1,240,162.79","898,218.15",50%
Bahrain,Branch_1,Personal Loan,"8,564.00","7,738,309.93","954,136.47","1,613,131.17","375,399.99",4.93,"256,268.89",304.24,4.34,"1,274.68",4.34,1.82,"2,942,667.63","5,051,911.19",65%
Bahrain,Branch_4,SME Loan,"9,321.00","2,311,784.19","282,169.90","1,165,172.65","433,815.31",3.66,"465,963.61",708.45,3.98,434.00,3.81,3.75,"1,881,157.86","896,589.94",39%
Oman,Branch_3,Personal Loan,"1,151.00","900,383.34","446,678.10","93,769.28","374,633.88",5.94,"220,420.16",379.92,8.58,897.81,5.53,4.25,"915,081.26","205,722.24",23%
Kuwait,Branch_7,SME Loan,"9,865.00","8,761,839.91","899,118.75","1,689,295.47","325,005.18",5.62,"250,784.36",586.35,1.67,204.65,2.80,2.34,"2,913,419.40","6,099,204.87",70%
Bahrain,Branch_6,SME Loan,"7,638.00","8,601,637.47","678,934.98","121,967.39","384,120.54",1.77,"85,602.32",308.84,1.56,"1,224.95",4.56,1.18,"1,185,022.91","7,502,216.88",87%
Kuwait,Branch_8,SME Loan,"7,511.00","4,095,346.89","619,947.29","358,223.87","370,556.25",2.70,"473,881.85",645.34,4.98,452.99,2.34,3.80,"1,348,727.41","3,220,501.33",79%
Saudi Arabia,Branch_10,Home Loan,"6,420.00","7,053,721.81","707,035.37","222,118.33","240,496.10",2.85,"111,305.35",503.22,4.67,703.33,4.41,0.75,"1,169,649.80","5,995,377.36",85%
Oman,Branch_2,Personal Loan,"2,205.00","5,614,952.73","829,678.15","174,295.72","171,246.44",2.33,"101,506.55",646.91,2.45,889.32,5.63,0.57,"1,175,220.31","4,541,238.97",81%
Saudi Arabia,Branch_1,Home Loan,407.00,"8,544,265.53","878,280.92","70,856.05","144,976.45",2.90,"51,496.11",349.44,3.37,388.32,5.89,4.45,"1,094,113.42","7,501,648.22",88%
Oman,Branch_8,Credit Card,"7,837.00","3,219,054.10","644,426.47","128,954.87","341,280.95",3.41,"227,226.37",446.48,9.77,"1,404.67",4.65,4.18,"1,114,662.29","2,331,618.18",72%
Bahrain,Branch_9,Credit Card,"3,459.00","5,284,356.76","890,557.24","896,029.59","479,855.54",1.73,"137,533.66",360.67,5.62,809.45,5.71,3.12,"2,266,442.37","3,155,448.05",60%
Bahrain,Branch_10,Auto Loan,"3,276.00","4,905,186.47","537,720.54","520,647.49","292,622.09",2.07,"370,649.72",655.34,1.79,501.32,4.40,3.49,"1,350,990.12","3,924,846.07",80%
Kuwait,Branch_10,Auto Loan,"1,351.00","3,603,667.68","280,904.40","270,543.03","456,700.62",1.93,"154,453.29",359.70,1.45,"1,155.69",5.82,4.79,"1,008,148.05","2,749,972.92",76%
Qatar,Branch_6,Home Loan,"5,466.00","8,925,405.14","880,676.33","1,324,236.97","12,043.54",1.71,"360,664.36",639.41,1.38,"1,362.48",5.49,0.78,"2,216,956.84","7,069,112.66",79%
Oman,Branch_8,Auto Loan,"1,617.00","1,742,191.45","543,765.46","467,701.58","398,262.97",3.67,"98,784.58",374.08,4.50,"1,386.47",1.53,1.47,"1,409,730.01","431,246.02",25%
Bahrain,Branch_8,Personal Loan,"6,326.00","1,580,135.53","906,606.90","57,519.33","427,533.32",3.00,"115,752.96",818.85,8.79,760.47,3.37,3.78,"1,391,659.55","304,228.94",19%
Kuwait,Branch_5,Home Loan,"5,405.00","5,811,404.40","44,966.97","848,471.17","317,341.95",5.71,"403,280.91",529.01,8.50,667.30,2.74,1.69,"1,210,780.09","5,003,905.22",86%
UAE,Branch_4,Home Loan,"9,670.00","6,609,192.88","400,528.17","634,657.32","467,360.19",1.96,"186,175.68",369.62,4.31,"1,408.03",1.13,1.43,"1,502,545.68","5,292,822.88",80%
Kuwait,Branch_3,Home Loan,"5,969.00","2,026,730.62","948,065.99","650,836.77","297,006.93",5.67,"56,775.21",323.00,7.97,268.69,3.33,2.49,"1,895,909.69","187,596.14",9%
Bahrain,Branch_5,SME Loan,"8,139.00","3,968,102.68","253,401.84","901,634.66","124,065.77",1.89,"480,740.50",481.18,7.77,"1,175.70",1.74,3.76,"1,279,102.27","3,169,740.91",80%
Oman,Branch_4,Home Loan,"4,991.00","9,470,982.05","941,828.56","1,344,449.58","111,780.03",4.29,"89,518.69",790.26,5.35,430.76,1.18,1.45,"2,398,058.17","7,162,442.57",76%
Oman,Branch_9,Auto Loan,"5,092.00","2,541,512.48","954,132.95","1,240,628.66","280,138.95",2.61,"75,948.36",379.10,4.64,805.15,3.23,2.43,"2,474,900.56","142,560.28",6%
Oman,Branch_10,SME Loan,"2,061.00","6,716,770.95","882,731.60","1,875,777.99","453,709.55",5.22,"179,832.65",734.96,2.62,"1,439.80",2.16,2.83,"3,212,219.14","3,684,384.46",55%
Bahrain,Branch_2,Credit Card,"2,963.00","7,427,479.00","565,849.70","1,045,079.00","40,822.13",1.78,"48,721.25",529.55,3.51,955.49,5.68,1.28,"1,651,750.83","5,824,449.42",78%
UAE,Branch_5,SME Loan,"6,703.00","4,536,474.12","648,704.75","955,688.42","304,173.30",5.79,"78,652.57",741.61,4.05,880.47,5.06,2.65,"1,908,566.47","2,706,560.22",60%
Oman,Branch_1,SME Loan,"4,667.00","9,381,507.27","870,268.91","442,560.58","386,052.72",1.71,"423,375.85",780.86,8.31,280.34,5.78,4.40,"1,698,882.21","8,106,000.91",86%
Saudi Arabia,Branch_1,Wealth Management,"6,613.00","7,392,901.68","777,017.60","1,515,654.95","62,124.02",2.59,"86,581.92",848.80,5.98,560.54,5.41,3.86,"2,354,796.57","5,124,687.03",69%
Oman,Branch_8,Auto Loan,"4,105.00","4,633,453.34","631,943.38","298,736.04","62,801.00",3.59,"56,601.98",337.51,2.81,203.97,4.64,2.77,"993,480.42","3,696,574.90",80%
Saudi Arabia,Branch_2,Auto Loan,"9,214.00","5,736,418.50","982,348.11","992,443.12","186,233.36",4.90,"440,098.81",737.97,1.86,"1,337.51",3.99,1.06,"2,161,024.59","4,015,492.72",70%
UAE,Branch_5,Credit Card,283.00,"6,956,873.09","687,248.25","854,217.95","140,571.18",5.78,"222,454.46",338.33,5.47,"1,038.31",1.33,0.61,"1,682,037.38","5,497,290.17",79%
Oman,Branch_1,Home Loan,"7,855.00","5,962,682.79","975,604.58","1,323,435.74","103,165.51",3.43,"79,424.31",473.14,7.00,353.44,2.33,0.80,"2,402,205.83","3,639,901.27",61%
Bahrain,Branch_4,Auto Loan,"3,458.00","8,799,106.08","62,101.53","1,836,890.51","103,353.62",4.91,"291,177.20",655.43,8.37,672.51,4.55,3.88,"2,002,345.66","7,087,937.62",81%
Kuwait,Branch_5,Home Loan,"6,715.00","3,633,197.76","143,265.57","1,894,259.27","69,681.17",4.77,"21,711.41",546.01,8.18,"1,254.84",3.01,3.67,"2,107,206.01","1,547,703.16",43%
Qatar,Branch_10,Auto Loan,"9,690.00","3,068,868.83","454,201.55","352,242.55","307,372.74",4.07,"214,263.89",610.89,8.42,382.39,2.63,3.86,"1,113,816.84","2,169,315.88",71%
Oman,Branch_5,Auto Loan,"6,897.00","2,217,005.01","387,955.06","538,398.09","345,622.17",4.61,"295,566.60",831.41,5.03,499.34,1.52,1.88,"1,271,975.32","1,240,596.29",56%
UAE,Branch_2,SME Loan,"8,828.00","474,051.38","783,821.17","1,627,037.93","352,953.43",1.67,"478,602.90",750.26,8.79,903.83,1.35,0.90,"2,763,812.53","-1,811,158.25",-382%
UAE,Branch_6,SME Loan,"7,778.00","525,838.25","164,810.96","1,046,193.93","268,515.22",3.49,"163,905.92",500.02,5.00,388.43,2.05,3.71,"1,479,520.11","-789,775.94",-150%
Kuwait,Branch_3,SME Loan,"5,798.00","8,713,546.41","976,214.70","917,008.45","476,688.60",5.04,"382,760.50",629.97,2.51,697.52,5.17,4.65,"2,369,911.75","6,726,395.16",77%
Qatar,Branch_1,Wealth Management,"1,373.00","6,816,092.15","318,490.55","1,427,038.40","440,863.72",3.63,"67,217.21",326.67,4.58,"1,476.77",4.32,2.53,"2,186,392.67","4,696,916.69",69%
Oman,Branch_1,Wealth Management,"6,753.00","6,639,270.91","431,779.09","1,211,811.41","479,027.42",5.43,"217,357.59",549.09,4.06,907.01,2.70,3.94,"2,122,617.92","4,734,010.58",71%
Qatar,Branch_9,Wealth Management,"1,196.00","6,184,963.91","278,371.31","1,942,013.83","197,453.76",5.25,"112,344.23",634.62,4.53,"1,111.99",1.31,3.78,"2,417,838.90","3,879,469.24",63%
Oman,Branch_7,Auto Loan,"9,597.00","8,507,269.53","581,466.80","1,176,269.81","439,502.66",5.39,"246,741.45",693.09,6.93,"1,062.27",1.94,4.34,"2,197,239.27","6,556,771.71",77%
Bahrain,Branch_8,Home Loan,"9,207.00","4,854,642.56","63,335.56","942,628.18","382,622.98",2.08,"209,198.70",795.83,6.91,475.23,3.25,0.63,"1,388,586.72","3,675,254.54",76%
UAE,Branch_8,Auto Loan,"8,102.00","8,717,067.20","153,929.12","1,094,778.38","173,286.59",2.60,"489,912.74",455.68,3.02,"1,299.95",1.77,4.80,"1,421,994.09","7,784,985.85",89%
Oman,Branch_9,Wealth Management,"4,347.00","3,658,505.76","747,068.71","1,620,908.84","57,763.66",1.63,"458,831.50",796.19,3.84,358.67,4.81,4.39,"2,425,741.21","1,691,596.05",46%
Oman,Branch_3,Auto Loan,"9,320.00","9,274,404.29","190,568.08","1,233,096.61","342,897.52",5.92,"291,520.74",663.84,6.36,"1,398.07",4.94,4.44,"1,766,562.21","7,799,362.82",84%
Kuwait,Branch_5,SME Loan,"5,414.00","7,016,704.10","239,336.88","1,301,155.22","72,543.90",2.56,"89,078.38",342.71,1.76,480.89,1.68,4.98,"1,613,036.00","5,492,746.48",78%
Saudi Arabia,Branch_10,Home Loan,"3,454.00","2,646,053.65","794,017.32","1,943,448.98","150,419.02",3.15,"278,921.54",509.18,7.20,"1,441.17",4.63,3.38,"2,887,885.32","37,089.87",1%
Oman,Branch_3,Auto Loan,370.00,"5,684,440.72","97,834.67","1,244,423.06","252,680.47",2.74,"396,249.06",562.13,2.61,"1,237.35",3.56,0.87,"1,594,938.20","4,485,751.58",79%
Saudi Arabia,Branch_1,Home Loan,"1,286.00","5,377,002.56","440,286.45","772,964.79","341,541.85",1.68,"19,975.53",493.87,8.66,422.28,5.81,4.20,"1,554,793.09","3,842,185.00",71%
Saudi Arabia,Branch_5,Auto Loan,"6,405.00","1,465,198.34","27,948.07","1,388,825.53","463,482.69",2.68,"217,580.64",363.77,4.61,408.52,4.94,1.11,"1,880,256.29","-197,477.31",-13%
Kuwait,Branch_8,Personal Loan,"2,498.00","5,953,304.77","350,073.36","1,325,729.61","298,653.82",1.94,"22,280.81",603.37,2.99,309.89,3.93,3.82,"1,974,456.79","4,001,128.79",67%
Saudi Arabia,Branch_7,Wealth Management,"7,095.00","3,216,377.67","700,486.50","47,418.32","337,349.48",3.27,"122,735.01",372.46,7.01,521.56,4.02,2.41,"1,085,254.30","2,253,858.38",70%
Bahrain,Branch_3,Credit Card,"7,399.00","618,252.79","94,652.76","945,312.01","158,456.86",5.85,"46,965.22",803.26,5.99,"1,056.84",1.89,0.53,"1,198,421.63","-533,203.62",-86%
Qatar,Branch_6,Auto Loan,"4,282.00","9,491,695.96","888,892.95","1,490,949.13","345,209.85",4.64,"480,328.56",775.89,2.55,876.39,5.47,2.46,"2,725,051.93","7,246,972.59",76%
Saudi Arabia,Branch_8,Home Loan,"2,330.00","6,450,754.65","909,951.55","1,008,102.09","221,706.11",4.68,"85,245.50",561.37,8.44,997.36,3.80,4.08,"2,139,759.75","4,396,240.40",68%
Kuwait,Branch_3,Wealth Management,"6,611.00","8,781,497.43","109,465.42","1,563,649.85","429,180.94",3.54,"75,901.84",337.26,5.08,240.48,3.87,0.89,"2,102,296.21","6,755,103.06",77%
Kuwait,Branch_3,SME Loan,228.00,"6,792,954.45","990,778.77","912,749.72","199,263.00",5.15,"486,055.43",603.71,2.37,303.96,3.88,0.51,"2,102,791.49","5,176,218.39",76%
Saudi Arabia,Branch_8,Credit Card,"9,561.00","3,634,138.55","301,041.91","1,966,976.76","236,794.65",5.59,"258,467.68",625.73,8.17,"1,099.57",2.38,2.54,"2,504,813.32","1,387,792.91",38%
Qatar,Branch_4,Credit Card,"3,772.00","5,175,611.92","88,681.16","599,925.35","219,130.94",5.83,"379,234.53",788.63,2.20,"1,302.28",5.06,0.51,"907,737.45","4,647,109.00",90%
Qatar,Branch_8,Personal Loan,"9,893.00","6,789,892.93","10,041.78","202,402.76","406,505.80",1.95,"164,330.01",337.13,9.71,667.25,5.31,4.71,"618,950.34","6,335,272.60",93%
Bahrain,Branch_5,Personal Loan,"4,865.00","9,606,498.02","411,480.28","871,423.37","477,081.10",5.46,"266,897.49",680.66,4.98,416.43,2.44,4.21,"1,759,984.75","8,113,410.76",84%
Bahrain,Branch_9,Auto Loan,"4,070.00","2,611,327.65","631,660.94","1,092,583.87","167,001.77",2.51,"4,420.00",609.54,7.55,600.86,3.21,3.34,"1,891,246.58","724,501.07",28%
Saudi Arabia,Branch_2,Credit Card,"7,645.00","8,762,272.88","335,518.35","711,205.59","240,138.81",3.29,"205,000.42",396.13,5.07,735.64,1.90,0.58,"1,286,862.75","7,680,410.55",88%
Oman,Branch_7,Home Loan,"5,652.00","9,248,370.27","837,533.78","499,716.70","354,433.50",3.05,"277,989.80",366.95,2.69,"1,019.18",2.19,3.06,"1,691,683.98","7,834,676.09",85%
Bahrain,Branch_3,SME Loan,727.00,"6,737,113.60","718,023.24","1,350,676.21","448,213.90",4.54,"257,690.67",681.67,7.82,732.32,2.68,3.52,"2,516,913.35","4,477,890.92",66%
Saudi Arabia,Branch_8,Credit Card,"6,689.00","9,319,539.61","353,410.72","766,707.70","249,381.84",4.19,"203,504.02",486.90,3.60,"1,366.15",5.51,3.14,"1,369,500.26","8,153,543.37",87%
Bahrain,Branch_4,Wealth Management,"2,144.00","4,038,998.02","735,638.12","1,270,109.69","58,902.29",1.99,"394,165.92",849.97,7.14,721.58,4.13,4.76,"2,064,650.10","2,368,513.84",59%
Bahrain,Branch_2,SME Loan,"2,441.00","9,534,860.14","940,785.30","1,562,561.47","187,492.33",5.02,"251,318.77",791.70,3.32,435.79,3.94,4.24,"2,690,839.10","7,095,339.81",74%
Kuwait,Branch_8,Wealth Management,"5,984.00","7,057,550.48","97,630.52","1,526,785.20","277,429.13",3.48,"318,424.14",611.14,3.17,522.85,5.73,2.14,"1,901,844.85","5,474,129.77",78%
UAE,Branch_1,Auto Loan,"8,285.00","515,857.10","309,573.44","763,112.44","211,674.68",1.51,"93,125.94",652.95,5.12,804.72,4.96,3.63,"1,284,360.56","-675,377.52",-131%
Saudi Arabia,Branch_10,Personal Loan,349.00,"9,078,041.04","466,009.31","1,144,438.49","97,345.08",3.37,"430,888.55",387.39,8.35,"1,217.20",1.08,2.58,"1,707,792.88","7,801,136.71",86%
Saudi Arabia,Branch_3,Personal Loan,"3,025.00","4,896,280.81","500,500.18","910,323.28","23,309.80",3.82,"182,055.25",791.70,6.52,"1,330.23",1.62,4.68,"1,434,133.26","3,644,202.80",74%
Saudi Arabia,Branch_7,SME Loan,"5,143.00","4,657,237.15","544,484.67","1,744,194.40","345,267.29",1.81,"241,569.71",552.41,1.58,440.88,2.24,3.28,"2,633,946.36","2,264,860.50",49%
Kuwait,Branch_3,Wealth Management,"1,074.00","5,708,019.40","304,123.77","1,759,941.79","496,404.91",2.18,"176,745.20",586.74,7.60,204.51,2.52,3.12,"2,560,470.47","3,324,294.13",58%
Bahrain,Branch_9,Home Loan,"9,617.00","1,578,907.01","668,923.35","700,608.33","460,007.28",5.97,"446,061.68",780.22,6.22,"1,330.23",5.17,2.75,"1,829,538.96","195,429.73",12%
Oman,Branch_7,Home Loan,"7,292.00","4,744,743.88","646,859.08","201,640.15","343,219.10",5.42,"450,469.33",303.44,6.61,496.66,4.85,2.20,"1,191,718.33","4,003,494.88",84%
Saudi Arabia,Branch_8,Wealth Management,"9,275.00","8,328,159.45","579,932.40","351,813.32","421,557.26",2.10,"112,917.89",571.89,4.18,"1,268.16",1.73,1.17,"1,353,302.98","7,087,774.36",85%
Saudi Arabia,Branch_5,Auto Loan,"9,180.00","253,276.35","118,192.91","746,663.45","131,585.17",4.11,"376,604.56",644.72,6.01,915.97,3.67,1.73,"996,441.53","-366,560.62",-145%
Bahrain,Branch_4,Auto Loan,"2,772.00","2,801,879.89","479,583.05","1,137,214.91","313,105.05",3.21,"52,338.89",387.62,4.35,725.35,1.55,2.00,"1,929,903.01","924,315.77",33%
Qatar,Branch_10,Home Loan,"7,379.00","124,300.41","359,445.75","1,320,438.28","34,999.09",3.95,"15,895.33",337.57,1.73,390.78,1.86,1.19,"1,714,883.12","-1,574,687.38",-1267%
Saudi Arabia,Branch_8,Wealth Management,"7,631.00","4,215,541.96","493,583.28","676,114.67","355,056.04",3.62,"418,455.47",594.21,8.60,"1,073.65",2.21,4.16,"1,524,753.99","3,109,243.44",74%
Saudi Arabia,Branch_1,Auto Loan,"9,618.00","7,310,323.55","922,257.10","1,341,648.26","485,086.81",1.72,"66,457.89",601.14,7.10,"1,263.60",5.53,0.51,"2,748,992.17","4,627,789.27",63%
Oman,Branch_5,SME Loan,"8,762.00","8,007,841.11","483,128.69","1,876,725.17","431,094.67",2.92,"78,236.58",481.64,7.03,799.42,2.83,4.62,"2,790,948.53","5,295,129.16",66%
Oman,Branch_9,SME Loan,"2,087.00","9,457,378.64","18,910.89","1,310,987.97","269,548.23",2.06,"303,687.54",785.23,2.74,780.26,5.58,1.08,"1,599,447.09","8,161,619.09",86%
UAE,Branch_7,Wealth Management,190.00,"6,124,195.67","441,642.55","333,959.15","395,426.41",3.70,"408,567.49",465.60,6.97,"1,181.86",4.75,0.73,"1,171,028.11","5,361,735.05",88%
Saudi Arabia,Branch_10,Wealth Management,"8,821.00","2,620,805.98","821,544.94","1,167,744.45","472,229.91",5.58,"95,610.86",584.06,3.09,850.15,4.75,4.98,"2,461,519.30","254,897.54",10%
Kuwait,Branch_9,Credit Card,"4,159.00","9,249,064.70","781,160.62","1,092,953.12","111,928.70",5.98,"57,981.93",402.69,7.19,"1,221.30",5.02,5.00,"1,986,042.44","7,321,004.19",79%
Qatar,Branch_7,Personal Loan,"2,873.00","7,775,625.96","515,823.12","1,743,986.22","397,662.96",5.75,"39,583.85",306.14,4.00,270.35,1.48,1.36,"2,657,472.30","5,157,737.51",66%
Qatar,Branch_3,Home Loan,"9,978.00","5,786,841.98","253,520.17","713,600.05","138,574.24",5.94,"13,398.36",534.32,2.42,"1,314.92",5.07,1.10,"1,105,694.46","4,694,545.88",81%
Oman,Branch_3,Wealth Management,"8,483.00","6,986,838.14","467,763.22","857,432.31","439,088.97",1.57,"59,123.10",589.82,9.16,540.69,2.26,1.39,"1,764,284.50","5,281,676.74",76%
Bahrain,Branch_6,SME Loan,"7,509.00","9,250,731.91","565,883.71","1,205,344.93","53,685.48",4.78,"471,403.26",720.57,1.94,419.95,5.92,2.80,"1,824,914.12","7,897,221.05",85%
Oman,Branch_7,Credit Card,"4,540.00","7,152,700.88","999,872.08","1,058,362.12","93,218.12",2.73,"48,545.97",546.82,7.86,241.98,5.24,1.95,"2,151,452.32","5,049,794.53",71%
Saudi Arabia,Branch_8,Wealth Management,"7,447.00","3,746,907.63","645,957.20","1,443,652.85","361,705.15",5.40,"299,181.93",453.30,1.92,"1,284.30",5.98,2.01,"2,451,315.20","1,594,774.36",43%
Qatar,Branch_2,Home Loan,"1,108.00","7,158,979.20","695,793.61","99,970.20","91,514.86",5.16,"460,562.23",632.33,7.16,278.15,5.69,4.14,"887,278.67","6,732,262.76",94%
Kuwait,Branch_2,Wealth Management,"3,883.00","498,753.81","493,996.87","1,135,761.72","83,236.88",3.41,"314,282.25",509.65,1.99,"1,440.76",2.80,4.51,"1,712,995.47","-899,959.41",-180%
UAE,Branch_9,Credit Card,"6,746.00","3,925,514.06","357,717.10","260,910.35","279,956.10",3.63,"17,340.13",428.38,5.58,934.29,5.71,4.86,"898,583.55","3,044,270.64",78%
UAE,Branch_2,Home Loan,"4,398.00","4,122,598.02","813,888.22","644,113.81","418,318.68",2.69,"298,610.49",800.69,2.69,"1,108.29",2.65,2.82,"1,876,320.71","2,544,887.80",62%
UAE,Branch_8,Auto Loan,"4,768.00","1,751,698.52","497,457.66","1,330,021.19","137,891.38",2.80,"451,629.59",595.18,8.80,"1,142.90",4.30,1.61,"1,965,370.23","237,957.88",14%
Qatar,Branch_5,Personal Loan,"4,387.00","328,546.26","994,716.68","331,680.12","421,363.40",5.92,"161,956.96",410.26,4.61,580.49,5.09,3.00,"1,747,760.20","-1,257,256.98",-383%
Kuwait,Branch_10,Wealth Management,"2,152.00","1,420,474.24","459,834.97","631,506.83","404,936.93",5.50,"157,500.34",669.00,1.14,"1,248.40",2.91,4.42,"1,496,278.73","81,695.85",6%
UAE,Branch_10,Home Loan,"6,109.00","6,580,752.81","72,660.28","1,411,952.84","291,657.17",2.36,"125,182.93",741.69,6.65,"1,430.11",2.02,0.64,"1,776,270.29","4,929,665.45",75%
Qatar,Branch_1,SME Loan,"1,816.00","8,042,659.28","684,165.25","1,308,594.38","325,048.56",2.74,"253,266.75",717.19,5.01,680.81,5.47,4.60,"2,317,808.19","5,978,117.84",74%
Kuwait,Branch_3,Auto Loan,410.00,"9,883,214.58","51,408.24","200,258.55","25,018.39",1.99,"119,733.48",629.75,8.74,"1,285.95",1.52,1.52,"276,685.18","9,726,262.88",98%
